age,marst,sex,people
-1.982269835,-1.78242102,-1.000852152,1483789
-1.982269835,-1.78242102,0.999148574,1450376
-1.781260568,-1.78242102,-1.000852152,1411067
-1.781260568,-1.78242102,0.999148574,1359668
-1.580251301,-1.78242102,-1.000852152,1260099
-1.580251301,-1.78242102,0.999148574,1216114
-1.379242034,-1.78242102,-1.000852152,1077133
-1.379242034,-1.78242102,0.999148574,1110619
-1.178232768,-1.78242102,-1.000852152,1017281
-1.178232768,-1.78242102,0.999148574,1003841
-0.977223501,-1.78242102,-1.000852152,862547
-0.977223501,-1.78242102,0.999148574,799482
-0.776214234,-1.78242102,-1.000852152,730638
-0.776214234,-1.78242102,0.999148574,639636
-0.575204967,-1.78242102,-1.000852152,588487
-0.575204967,-1.78242102,0.999148574,505012
-0.374195701,-1.78242102,-1.000852152,475911
-0.374195701,-1.78242102,0.999148574,428185
-0.173186434,-1.78242102,-1.000852152,384211
-0.173186434,-1.78242102,0.999148574,341254
0.027822833,-1.78242102,-1.000852152,321343
0.027822833,-1.78242102,0.999148574,286580
0.2288321,-1.78242102,-1.000852152,194080
0.2288321,-1.78242102,0.999148574,187208
0.429841366,-1.78242102,-1.000852152,174976
0.429841366,-1.78242102,0.999148574,162236
0.630850633,-1.78242102,-1.000852152,106827
0.630850633,-1.78242102,0.999148574,105534
0.8318599,-1.78242102,-1.000852152,73677
0.8318599,-1.78242102,0.999148574,71762
1.032869167,-1.78242102,-1.000852152,40834
1.032869167,-1.78242102,0.999148574,40229
1.233878433,-1.78242102,-1.000852152,23449
1.233878433,-1.78242102,0.999148574,22949
1.4348877,-1.78242102,-1.000852152,8186
1.4348877,-1.78242102,0.999148574,10511
1.635896967,-1.78242102,-1.000852152,5259
1.635896967,-1.78242102,0.999148574,6569
-1.982269835,-1.78242102,-1.000852152,2120846
-1.982269835,-1.78242102,0.999148574,2092162
-1.781260568,-1.78242102,-1.000852152,1804467
-1.781260568,-1.78242102,0.999148574,1778772
-1.580251301,-1.78242102,-1.000852152,1612640
-1.580251301,-1.78242102,0.999148574,1540350
-1.379242034,-1.78242102,-1.000852152,1438094
-1.379242034,-1.78242102,0.999148574,1495999
-1.178232768,-1.78242102,-1.000852152,1351121
-1.178232768,-1.78242102,0.999148574,1370462
-0.977223501,-1.78242102,-1.000852152,1217615
-0.977223501,-1.78242102,0.999148574,1116373
